Suburb,population,schools,Skate_Parks,Sport_Grounds,Playgrounds,Basketball_Courts,crimes,Suburb.1,time_to_TC,closest_TC,time_to_Hospital,closest_Hospital,Recreation&Fitness,crimesPP,Bus_Stops,Fitness_Sites,Unemployment,Transport,Education,Livability,Crime_pred,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4
Monash,5317,2,0,0,0,1,51,Monash,5.183333333333334,"Tuggeranong Bus Station, ACT",10.433333333333334,"Canberra Hospital, ACT",0.55,0.011472634944517585,36,0,2.0,0.02861326549182123,20.668078547061075,96.28122293747732,0,59.227941176470594,57.18137254901961,55.13480392156863,53.08823529411766,51.04166666666668,48.9950980392157,46.94852941176472
Mount Taylor,3,0,0,0,0,0,0,Mount Taylor,6.116666666666666,"Woden Bus Station, ACT",7.816666666666666,"Canberra Hospital, ACT",0.5,3.3333333333333335,0,0,4.1,0.013001143993173769,12.741784138045197,66.81036466398157,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxley,1723,0,0,0,0,0,24,Oxley,6.35,"Tuggeranong Bus Station, ACT",13.583333333333336,"Canberra Hospital, ACT",0.5,0.019733023795705164,21,0,3.2,0.02628034843245885,12.768242664305285,95.51179011428346,0,31.99264705882353,31.338235294117645,30.68382352941176,30.02941176470588,29.375,28.720588235294116,28.066176470588236
Richardson,2930,2,1,1,0,0,96,Richardson,7.55,"Tuggeranong Bus Station, ACT",14.033333333333333,"Canberra Hospital, ACT",0.55,0.03617747440273038,26,0,3.4,0.03002359057118132,20.936443599127674,95.16284189465196,0,63.69852941176472,63.16176470588237,62.625000000000014,62.08823529411766,61.551470588235304,61.014705882352956,60.4779411764706
Theodore,3828,2,0,1,0,0,32,Theodore,7.4833333333333325,"Tuggeranong Bus Station, ACT",17.0,"Canberra Hospital, ACT",0.5,0.0109717868338558,16,7,3.4,0.028183243429483102,20.92888402019622,95.3142638351487,0,45.28676470588236,44.12254901960785,42.95833333333334,41.79411764705883,40.62990196078432,39.465686274509814,38.301470588235304
Tuggeranong,31,2,0,0,0,0,0,Tuggeranong,2.8,"Tuggeranong Bus Station, ACT",14.033333333333333,"Canberra Hospital, ACT",0.5,0.3225806451612903,3,0,4.1,0.015283994893216092,20.39782360026161,90.20578753738823,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wanniassa,7458,11,1,2,1,1,262,Wanniassa,6.916666666666668,"Tuggeranong Bus Station, ACT",11.366666666666667,"Canberra Hospital, ACT",0.65,0.036470903727540895,94,0,3.2,0.054889786531957384,57.009205912531876,95.73430994482767,0,251.95588235294116,252.32352941176467,252.6911764705882,253.05882352941174,253.42647058823528,253.79411764705878,254.16176470588232
Chapman,2595,2,0,1,1,0,20,Chapman,10.433333333333334,"Woden Bus Station, ACT",12.383333333333333,"Canberra Hospital, ACT",0.55,0.011560693641618497,19,0,2.7,0.02916612899349822,21.26339538791304,96.17240500846992,0,41.63235294117647,42.46078431372549,43.28921568627452,44.117647058823536,44.946078431372555,45.774509803921575,46.602941176470594
Duffy,3083,2,0,1,0,1,28,Duffy,10.4,"Woden Bus Station, ACT",12.35,"Canberra Hospital, ACT",0.55,0.012325656827765165,29,0,2.8,0.033169160355163804,21.25961559844731,96.06481219500112,0,29.15441176470587,28.70098039215685,28.24754901960783,27.794117647058812,27.340686274509792,26.887254901960773,26.433823529411754
Fisher,2894,0,0,0,0,0,27,Fisher,9.95,"Woden Bus Station, ACT",11.883333333333333,"Canberra Hospital, ACT",0.5,0.012785072563925363,16,0,2.8,0.027010083563045198,13.176459926603776,95.77658142975362,0,31.492647058823522,30.553921568627445,29.615196078431367,28.676470588235286,27.73774509803921,26.79901960784313,25.86029411764705
Holder,2545,2,0,1,1,0,30,Holder,9.233333333333333,"Woden Bus Station, ACT",11.183333333333335,"Canberra Hospital, ACT",0.55,0.015717092337917484,24,0,2.8,0.028907628895931643,21.127322967146874,96.02587786571925,0,34.21323529411765,34.15196078431373,34.09068627450981,34.029411764705884,33.96813725490196,33.906862745098046,33.84558823529412
Rivett,2893,0,1,1,1,0,49,Rivett,10.966666666666667,"Woden Bus Station, ACT",12.9,"Canberra Hospital, ACT",0.6,0.020394054614586935,19,3,2.8,0.030171795393367423,13.291743505308443,95.86844057815765,0,42.867647058823536,42.57843137254902,42.28921568627452,42.0,41.7107843137255,41.42156862745098,41.13235294117648
Stirling,1989,1,1,3,1,0,29,Stirling,8.416666666666666,"Woden Bus Station, ACT",10.366666666666667,"Canberra Hospital, ACT",0.6,0.0196078431372549,19,0,2.7,0.02531455280777535,17.018653868208453,96.09010235554811,0,25.132352941176467,24.205882352941174,23.27941176470588,22.352941176470587,21.426470588235293,20.499999999999996,19.573529411764703
Waramanga,2373,4,0,2,0,2,34,Waramanga,7.883333333333334,"Woden Bus Station, ACT",9.816666666666666,"Canberra Hospital, ACT",0.6,0.018541930046354824,19,0,2.8,0.024283021886270482,29.006370007841163,96.14161965367784,0,40.573529411764696,39.77450980392156,38.975490196078425,38.17647058823529,37.377450980392155,36.57843137254901,35.77941176470588
Weston,3354,3,1,1,1,1,101,Weston,7.533333333333332,"Woden Bus Station, ACT",8.683333333333334,"Canberra Hospital, ACT",0.65,0.03309481216457961,37,3,2.8,0.030326799057081643,24.950617961422925,95.86040112614023,0,72.5514705882353,62.220588235294116,51.889705882352956,41.55882352941177,31.22794117647061,20.89705882352942,10.566176470588232
Chifley,2732,1,0,1,1,1,55,Chifley,5.266666666666667,"Woden Bus Station, ACT",7.216666666666668,"Canberra Hospital, ACT",0.6,0.023792093704245974,14,6,4.1,0.017265107579113273,16.661463763697274,94.63611346310394,0,47.64705882352941,47.41176470588235,47.17647058823529,46.94117647058823,46.705882352941174,46.470588235294116,46.23529411764706
Curtin,5313,4,0,2,0,0,116,Curtin,6.8,"Woden Bus Station, ACT",5.883333333333334,"Canberra Hospital, ACT",0.5,0.023715415019762844,27,0,2.1,0.02325593177926676,28.883526850205044,95.968034538231,0,106.41176470588235,104.15686274509804,101.90196078431373,99.64705882352942,97.3921568627451,95.13725490196079,92.88235294117646
Farrer,3422,2,0,1,0,0,17,Farrer,7.7333333333333325,"Woden Bus Station, ACT",6.2,"Canberra Hospital, ACT",0.5,0.007890122735242549,14,0,2.4,0.019273283873863067,20.95723244118917,96.09471667645109,0,24.72794117647059,23.299019607843142,21.87009803921569,20.44117647058824,19.012254901960787,17.583333333333336,16.154411764705884
Garran,3417,5,0,1,0,0,99,Garran,6.816666666666666,"Woden Bus Station, ACT",3.533333333333333,"Canberra Hospital, ACT",0.5,0.03189932689493708,28,0,2.1,0.021858051329076346,32.90148100196602,96.18489501701116,0,82.1470588235294,83.01960784313725,83.8921568627451,84.76470588235293,85.63725490196077,86.50980392156862,87.38235294117646
Hughes,2968,3,0,1,0,0,39,Hughes,5.933333333333334,"Woden Bus Station, ACT",4.433333333333334,"Canberra Hospital, ACT",0.5,0.01650943396226415,15,0,2.1,0.016268047293475835,24.76918806706804,96.28460922725347,0,33.86029411764706,33.46568627450981,33.07107843137255,32.6764705882353,32.28186274509804,31.887254901960787,31.49264705882353
Isaacs,2331,0,0,0,1,0,23,Isaacs,7.6,"Woden Bus Station, ACT",6.066666666666666,"Canberra Hospital, ACT",0.55,0.014157014157014158,19,0,2.4,0.021051981097670567,12.90998476927004,96.14935057754339,0,22.022058823529413,22.044117647058822,22.066176470588236,22.08823529411765,22.110294117647058,22.13235294117647,22.154411764705884
Lyons,3186,3,0,1,0,1,125,Lyons,5.566666666666666,"Woden Bus Station, ACT",5.933333333333334,"Canberra Hospital, ACT",0.55,0.0423728813559322,16,0,4.1,0.017422843303646997,24.727610382945045,94.31596665520281,0,85.10294117647058,86.02941176470588,86.95588235294117,87.88235294117646,88.80882352941175,89.73529411764706,90.66176470588235
Mawson,3055,3,0,3,1,0,84,Mawson,5.216666666666667,"Woden Bus Station, ACT",5.583333333333332,"Canberra Hospital, ACT",0.55,0.03076923076923077,17,0,2.4,0.01716105731036698,24.687922593554912,95.89093581100248,0,91.73529411764706,92.09803921568627,92.46078431372548,92.8235294117647,93.18627450980392,93.54901960784314,93.91176470588235
O'Malley,975,1,1,1,1,0,13,O'Malley,5.566666666666666,"Woden Bus Station, ACT",3.783333333333333,"Canberra Hospital, ACT",0.6,0.02358974358974359,11,0,4.1,0.013721234769166871,16.695481868888816,94.8659220445905,0,13.573529411764707,13.617647058823529,13.661764705882353,13.705882352941178,13.75,13.794117647058824,13.838235294117649
Pearce,2468,5,0,1,0,0,19,Pearce,5.4833333333333325,"Woden Bus Station, ACT",7.316666666666666,"Canberra Hospital, ACT",0.5,0.011750405186385737,16,0,2.4,0.01840172621488423,32.750289423336945,96.3635473712328,0,35.00735294117648,35.11274509803922,35.21813725490197,35.32352941176471,35.42892156862746,35.5343137254902,35.63970588235295
Phillip,2444,1,1,4,1,1,300,Phillip,4.083333333333333,"Woden Bus Station, ACT",5.916666666666668,"Canberra Hospital, ACT",0.65,0.12684124386252046,43,9,4.1,0.026707977931068758,16.527281237663974,93.25906611618204,0,304.8823529411764,300.313725490196,295.74509803921563,291.17647058823525,286.60784313725486,282.0392156862745,277.4705882352941
Torrens,2165,2,0,1,1,0,11,Torrens,7.033333333333332,"Woden Bus Station, ACT",8.666666666666666,"Canberra Hospital, ACT",0.55,0.009699769053117783,15,0,2.4,0.02080017206489605,20.87785686240891,96.37337366895292,0,15.051470588235293,13.828431372549016,12.605392156862742,11.382352941176467,10.159313725490193,8.93627450980392,7.713235294117645
Gungahlin,2867,2,2,1,2,1,293,Gungahlin,1.8166666666666669,Marketplace Gungahlin,15.866666666666667,"Calvary Hospital, ACT",0.75,0.10568538542029997,34,7,2.6,0.02819825640246009,20.286319811022672,94.97964382560492,0,269.3161764705883,267.2009803921569,265.0857843137255,262.97058823529414,260.85539215686276,258.74019607843144,256.62500000000006
Barton,2867,2,1,0,1,0,0,Barton,9.666666666666666,"City Bus Station, ACT",10.15,"Canberra Hospital, ACT",0.6,0.003487966515521451,13,0,4.1,0.024123838200015905,21.17646023020132,95.12506856332988,0,58.33823529411764,57.79411764705881,57.24999999999999,56.70588235294117,56.16176470588235,55.61764705882352,55.073529411764696
Kingston,2867,0,0,0,1,1,0,Kingston,11.366666666666667,"City Bus Station, ACT",12.466666666666667,"Canberra Hospital, ACT",0.6,0.003487966515521451,13,0,4.1,0.02784911508121578,13.337100978897162,95.05867783283036,0,112.42647058823532,112.22549019607845,112.02450980392159,111.82352941176472,111.62254901960787,111.42156862745101,111.22058823529414
