Suburb,population,schools,Skate_Parks,Sport_Grounds,Playgrounds,Basketball_Courts,crimes,Suburb.1,time_to_TC,closest_TC,time_to_Hospital,closest_Hospital,Recreation&Fitness,crimesPP,Bus_Stops,Fitness_Sites,Unemployment,Transport,Education,Livability,Crime_pred,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4
Majura,253,0,0,0,0,0,49,Majura,24.61666666666667,"City Bus Station, ACT",25.83333333333333,"Queanbeyan District Hospital, NSW",0.5,0.233201581027668,3,0,2.2,0.04917875760542574,14.83956729152355,93.5200441873232,0,75.07352941176475,69.57843137254906,64.08333333333337,58.588235294117695,53.093137254902004,47.59803921568631,42.10294117647064
Latham,3419,2,0,1,1,0,78,Latham,7.75,"Belconnen Bus Depot, ACT",14.116666666666667,"Calvary Hospital, ACT",0.55,0.02573852003509798,32,0,4.3,0.032755055509989216,20.959122335922036,94.5712449574265,0,44.80882352941177,42.2843137254902,39.75980392156863,37.23529411764706,34.71078431372549,32.18627450980392,29.661764705882355
Lawson,803,0,0,0,1,0,28,Lawson,12.466666666666667,"Belconnen Bus Depot, ACT",10.183333333333334,"Calvary Hospital, ACT",0.55,0.047322540473225407,10,0,3.1,0.026104717739474502,13.461834031266147,95.38459141677929,0,17.044117647058822,17.833333333333332,18.622549019607842,19.411764705882355,20.200980392156865,20.990196078431374,21.779411764705884
Macgregor,6642,2,0,1,0,1,78,Macgregor,9.6,"Belconnen Bus Depot, ACT",15.683333333333335,"Calvary Hospital, ACT",0.55,0.01324902137910268,37,0,4.2,0.03810181806932343,21.16890065126987,94.42345472976248,0,92.59558823529412,94.23039215686273,95.86519607843137,97.5,99.13480392156862,100.76960784313725,102.40441176470588
Macquarie,2747,3,0,2,1,0,117,Macquarie,4.916666666666667,"Belconnen Bus Depot, ACT",7.383333333333334,"Calvary Hospital, ACT",0.55,0.046232253367309795,20,0,4.1,0.019437568560165434,24.653904488363374,94.35570598666783,0,100.92647058823528,101.26470588235293,101.60294117647058,101.94117647058822,102.27941176470587,102.61764705882352,102.95588235294116
McKellar,2874,0,0,1,0,0,32,McKellar,8.166666666666666,"Belconnen Bus Depot, ACT",10.433333333333334,"Calvary Hospital, ACT",0.5,0.014613778705636743,22,0,3.7,0.02630280577450475,12.974241190187394,95.00858364928713,0,39.05147058823529,39.12254901960784,39.19362745098039,39.264705882352935,39.33578431372548,39.40686274509803,39.47794117647058
Melba,3166,4,0,3,1,0,80,Melba,8.583333333333334,"Belconnen Bus Depot, ACT",12.75,"Calvary Hospital, ACT",0.55,0.028427037271004423,35,0,4.2,0.0338595656227459,29.085745586621425,94.79792078611983,0,57.955882352941174,57.06862745098039,56.181372549019606,55.29411764705882,54.40686274509804,53.51960784313725,52.632352941176464
Page,2903,1,0,1,0,0,64,Page,3.6,"Belconnen Bus Depot, ACT",9.183333333333334,"Calvary Hospital, ACT",0.5,0.02549087151222873,14,0,4.1,0.01690121962275456,16.472474290410936,94.4114088274904,0,51.02205882352941,50.377450980392155,49.7328431372549,49.088235294117645,48.443627450980394,47.799019607843135,47.154411764705884
Hall,339,1,0,1,1,0,13,Hall,12.7,Marketplace Gungahlin,16.683333333333334,"Calvary Hospital, ACT",0.55,0.06784660766961652,0,0,2.7,0.027346190943072963,17.504356814554342,95.53649390207183,0,5.220588235294112,4.441176470588228,3.661764705882346,2.882352941176464,2.10294117647058,1.3235294117646994,0.5441176470588154
Scullin,2838,3,0,1,0,0,56,Scullin,5.7666666666666675,"Belconnen Bus Depot, ACT",11.183333333333335,"Calvary Hospital, ACT",0.5,0.023255813953488372,16,0,4.1,0.021723292829209,24.750289119739406,94.66869871130147,0,44.808823529411754,44.24509803921568,43.6813725490196,43.11764705882352,42.553921568627445,41.99019607843137,41.42647058823529
