Suburb,population,schools,Skate_Parks,Sport_Grounds,Playgrounds,Basketball_Courts,crimes,Suburb,bus_to_TC,closest_TC,time_to_Hospital,closest_Hospital
Braddon,6011,2,0,0,0,0,232,Braddon,4.133333333333334,"City Bus Station, ACT",11.366666666666667,"Calvary Hospital, ACT"
Lake Burley Griffin,0,0,0,0,0,0,0,Lake Burley Griffin,8.6,"City Bus Station, ACT",11.0,"Calvary Hospital, ACT"
Campbell,5769,5,1,1,0,0,79,Campbell,8.483333333333333,"City Bus Station, ACT",14.7,"Calvary Hospital, ACT"
Civic,3995,0,0,0,0,0,0,Civic,2.1666666666666665,"City Bus Station, ACT",11.666666666666666,"Calvary Hospital, ACT"
Dickson,2351,5,0,1,1,0,200,Dickson,7.45,"City Bus Station, ACT",11.033333333333333,"Calvary Hospital, ACT"
Downer,3705,1,0,1,1,0,35,Downer,11.033333333333333,"City Bus Station, ACT",13.05,"Calvary Hospital, ACT"
Hackett,2877,2,0,1,1,1,80,Hackett,12.183333333333334,"City Bus Station, ACT",14.8,"Calvary Hospital, ACT"
Parkes,0,0,0,0,0,0,45,Parkes,7.383333333333334,"City Bus Station, ACT",11.233333333333333,"Canberra Hospital, ACT"
Lyneham,5038,4,0,3,1,1,232,Lyneham,8.666666666666666,"City Bus Station, ACT",9.216666666666667,"Calvary Hospital, ACT"
O'Connor,5701,7,2,5,2,1,154,O'Connor,7.116666666666666,"City Bus Station, ACT",7.416666666666667,"Calvary Hospital, ACT"
Reid,1826,1,0,1,1,0,163,Reid,5.366666666666666,"City Bus Station, ACT",12.166666666666666,"Calvary Hospital, ACT"
Turner,4127,3,0,1,1,0,99,Turner,5.166666666666667,"City Bus Station, ACT",8.866666666666667,"Calvary Hospital, ACT"
Watson,6326,3,0,1,0,0,143,Watson,12.533333333333333,"City Bus Station, ACT",14.35,"Calvary Hospital, ACT"
Deakin,2728,5,0,2,0,2,101,Deakin,7.816666666666666,"Woden Bus Station, ACT",6.9,"Canberra Hospital, ACT"
Forrest,1655,1,0,0,0,0,30,Forrest,9.383333333333333,"Woden Bus Station, ACT",8.466666666666667,"Canberra Hospital, ACT"
Griffith,4308,3,0,1,0,0,183,Griffith,12.55,"Woden Bus Station, ACT",10.766666666666667,"Canberra Hospital, ACT"
Narrabundah,6176,5,0,6,1,1,113,Narrabundah,12.55,"Woden Bus Station, ACT",10.766666666666667,"Canberra Hospital, ACT"
Red Hill,3257,6,0,0,1,0,63,Red Hill,11.583333333333334,"Woden Bus Station, ACT",10.666666666666666,"Canberra Hospital, ACT"
Yarralumla,2840,3,0,2,2,0,98,Yarralumla,9.9,"Woden Bus Station, ACT",8.25,"Canberra Hospital, ACT"
Banks,4888,0,0,1,0,0,36,Banks,8.416666666666666,"Tuggeranong Bus Station, ACT",18.8,"Canberra Hospital, ACT"
Bonython,3698,2,0,1,1,1,84,Bonython,3.283333333333333,"Tuggeranong Bus Station, ACT",14.6,"Canberra Hospital, ACT"
Calwell,5605,4,0,3,0,0,92,Calwell,6.4,"Tuggeranong Bus Station, ACT",13.866666666666667,"Canberra Hospital, ACT"
Chisholm,5145,4,0,2,0,1,110,Chisholm,6.916666666666667,"Tuggeranong Bus Station, ACT",13.4,"Canberra Hospital, ACT"
Conder,5029,4,1,2,1,0,76,Conder,6.6,"Tuggeranong Bus Station, ACT",16.983333333333334,"Canberra Hospital, ACT"
Fadden,3012,2,1,0,1,0,40,Fadden,10.35,"Tuggeranong Bus Station, ACT",12.0,"Canberra Hospital, ACT"
Gilmore,2724,2,0,1,0,0,46,Gilmore,9.416666666666666,"Tuggeranong Bus Station, ACT",14.966666666666667,"Canberra Hospital, ACT"
Gordon,7626,3,0,1,1,1,102,Gordon,6.483333333333333,"Tuggeranong Bus Station, ACT",16.95,"Canberra Hospital, ACT"
Gowrie,2969,3,0,1,1,0,59,Gowrie,7.783333333333333,"Tuggeranong Bus Station, ACT",10.816666666666666,"Canberra Hospital, ACT"
Greenway,1903,0,1,1,2,1,291,Greenway,1.7,"Tuggeranong Bus Station, ACT",15.166666666666666,"Canberra Hospital, ACT"
Isabella Plains,4331,4,0,1,0,0,60,Isabella Plains,4.5,"Tuggeranong Bus Station, ACT",13.45,"Canberra Hospital, ACT"
Kambah,14874,8,1,3,3,6,391,Kambah,7.916666666666667,"Tuggeranong Bus Station, ACT",13.25,"Canberra Hospital, ACT"
Macarthur,1425,0,1,0,1,1,13,Macarthur,9.083333333333334,"Tuggeranong Bus Station, ACT",14.266666666666667,"Canberra Hospital, ACT"
Monash,5317,2,0,0,0,1,51,Monash,5.183333333333334,"Tuggeranong Bus Station, ACT",10.433333333333334,"Canberra Hospital, ACT"
Mount Taylor,3,0,0,0,0,0,0,Mount Taylor,6.116666666666666,"Woden Bus Station, ACT",7.816666666666666,"Canberra Hospital, ACT"
Oxley,1723,0,0,0,0,0,24,Oxley,6.35,"Tuggeranong Bus Station, ACT",13.583333333333334,"Canberra Hospital, ACT"
Richardson,2930,2,1,1,0,0,96,Richardson,7.55,"Tuggeranong Bus Station, ACT",14.033333333333333,"Canberra Hospital, ACT"
Theodore,3828,2,0,1,0,0,32,Theodore,7.483333333333333,"Tuggeranong Bus Station, ACT",17.0,"Canberra Hospital, ACT"
Tuggeranong,31,2,0,0,0,0,0,Tuggeranong,2.8,"Tuggeranong Bus Station, ACT",14.033333333333333,"Canberra Hospital, ACT"
Wanniassa,7458,11,1,2,1,1,262,Wanniassa,6.916666666666667,"Tuggeranong Bus Station, ACT",11.366666666666667,"Canberra Hospital, ACT"
Chapman,2595,2,0,1,1,0,20,Chapman,10.433333333333334,"Woden Bus Station, ACT",12.383333333333333,"Canberra Hospital, ACT"
Duffy,3083,2,0,1,0,1,28,Duffy,10.4,"Woden Bus Station, ACT",12.35,"Canberra Hospital, ACT"
Fisher,2894,0,0,0,0,0,27,Fisher,9.95,"Woden Bus Station, ACT",11.883333333333333,"Canberra Hospital, ACT"
Holder,2545,2,0,1,1,0,30,Holder,9.233333333333333,"Woden Bus Station, ACT",11.183333333333334,"Canberra Hospital, ACT"
Rivett,2893,0,1,1,1,0,49,Rivett,10.966666666666667,"Woden Bus Station, ACT",12.9,"Canberra Hospital, ACT"
Stirling,1989,1,1,3,1,0,29,Stirling,8.416666666666666,"Woden Bus Station, ACT",10.366666666666667,"Canberra Hospital, ACT"
Waramanga,2373,4,0,2,0,2,34,Waramanga,7.883333333333334,"Woden Bus Station, ACT",9.816666666666666,"Canberra Hospital, ACT"
Weston,3354,3,1,1,1,1,101,Weston,7.533333333333333,"Woden Bus Station, ACT",8.683333333333334,"Canberra Hospital, ACT"
Chifley,2732,1,0,1,1,1,55,Chifley,5.266666666666667,"Woden Bus Station, ACT",7.216666666666667,"Canberra Hospital, ACT"
Curtin,5313,4,0,2,0,0,116,Curtin,6.8,"Woden Bus Station, ACT",5.883333333333334,"Canberra Hospital, ACT"
Farrer,3422,2,0,1,0,0,17,Farrer,7.733333333333333,"Woden Bus Station, ACT",6.2,"Canberra Hospital, ACT"
Garran,3417,5,0,1,0,0,99,Garran,6.816666666666666,"Woden Bus Station, ACT",3.533333333333333,"Canberra Hospital, ACT"
Hughes,2968,3,0,1,0,0,39,Hughes,5.933333333333334,"Woden Bus Station, ACT",4.433333333333334,"Canberra Hospital, ACT"
Isaacs,2331,0,0,0,1,0,23,Isaacs,7.6,"Woden Bus Station, ACT",6.066666666666666,"Canberra Hospital, ACT"
Lyons,3186,3,0,1,0,1,125,Lyons,5.566666666666666,"Woden Bus Station, ACT",5.933333333333334,"Canberra Hospital, ACT"
Mawson,3055,3,0,3,1,0,84,Mawson,5.216666666666667,"Woden Bus Station, ACT",5.583333333333333,"Canberra Hospital, ACT"
O'Malley,975,1,1,1,1,0,13,O'Malley,5.566666666666666,"Woden Bus Station, ACT",3.783333333333333,"Canberra Hospital, ACT"
Pearce,2468,5,0,1,0,0,19,Pearce,5.483333333333333,"Woden Bus Station, ACT",7.316666666666666,"Canberra Hospital, ACT"
Phillip,2444,1,1,4,1,1,300,Phillip,4.083333333333333,"Woden Bus Station, ACT",5.916666666666667,"Canberra Hospital, ACT"
Torrens,2165,2,0,1,1,0,11,Torrens,7.033333333333333,"Woden Bus Station, ACT",8.666666666666666,"Canberra Hospital, ACT"
Gungahlin,2867,2,2,1,2,1,293,Gungahlin,1.8166666666666667,Marketplace Gungahlin,15.866666666666667,"Calvary Hospital, ACT"
Barton,2867,2,1,0,1,0,0,Barton,9.666666666666666,"City Bus Station, ACT",10.15,"Canberra Hospital, ACT"
Kingston,2867,0,0,0,1,1,0,Kingston,11.366666666666667,"City Bus Station, ACT",12.466666666666667,"Canberra Hospital, ACT"
